"","hazard ratio","5% CI","95% CI"
"HR_CI1vs6_lower",1.21839078967315,1.13288286045996,1.22279795117147
"HR_CI2vs6_lower",1.48447611636037,1.2845942057276,1.49523536388543
"HR_CI3vs6_lower",1.80867202766325,1.45800721084659,1.828372046054
"HR_CI4vs6_lower",2.20366934004436,1.65646726305798,2.23573198733709
"HR_CI5vs6_lower",2.68493042739517,1.88387472926192,2.73385239725831
"HR_CI1vs6_lower1",0.372449129331879,1.00698141645358,2.58491108129779
"HR_CI2vs6_lower1",0.453788588799746,1.00466224229321,2.13267359936352
"HR_CI3vs6_lower1",0.552891837052389,1.00281960060767,1.7615138949645
"HR_CI4vs6_lower1",0.6736383219501,1.00143807671688,1.45667734263314
"HR_CI5vs6_lower1",0.82075472703488,1.0005029164782,1.20611826443004
"HR_CI1vs6_lower2",2.04130954960539,1.97052162938315,2.95037764384812
"HR_CI2vs6_lower2",1.76981183033202,1.72052354629107,2.37367861265158
"HR_CI3vs6_lower2",1.53442377976858,1.50225000545632,1.91071757597664
"HR_CI4vs6_lower2",1.33034274919361,1.31167421187875,1.53890248243651
"HR_CI5vs6_lower2",1.1534048505159,1.14528061829802,1.24015395914693
"HR_CI1vs6_lower3",1.78813905780814,1.0446256508271,2.30313842813449
"HR_CI2vs6_lower3",1.59191923959912,1.03525299191458,1.9489799378434
"HR_CI3vs6_lower3",1.41723142522943,1.02611098617125,1.64937247125434
"HR_CI4vs6_lower3",1.26171281978076,1.01719263719398,1.39590044855001
"HR_CI5vs6_lower3",1.12325990749281,1.00849116513754,1.18144843272615
"HR_CI1vs6_lower4",1.89244288242397,1.58468310173218,2.57067055077564
"HR_CI2vs6_lower4",1.66578222828417,1.4452857127534,2.12504901316744
"HR_CI3vs6_lower4",1.46626905247105,1.31815083247609,1.75796017006556
"HR_CI4vs6_lower4",1.2906518617676,1.20219972136985,1.45540230154835
"HR_CI5vs6_lower4",1.13606859905888,1.09644853997444,1.20589010764073
"HR_CI1vs6_lower5",1.72594455147913,1.24033328224015,2.10685727192629
"HR_CI2vs6_lower5",1.54746726728922,1.18760312095762,1.81507043813554
"HR_CI3vs6_lower5",1.38744604586477,1.13732724882824,1.56372042864742
"HR_CI4vs6_lower5",1.24397237400564,1.0893796367576,1.34719989607606
"HR_CI5vs6_lower5",1.11533509494037,1.0436413251735,1.1606795213846
"HR_CI1vs6_lower6",1.41674616717881,0.781133964136819,1.134805165036
"HR_CI2vs6_lower6",1.32139797554822,0.820462538647131,1.10617190124315
"HR_CI3vs6_lower6",1.23246679626454,0.861893934592459,1.07840053126636
"HR_CI4vs6_lower6",1.14952075907668,0.905544345448269,1.05146488152621
"HR_CI5vs6_lower6",1.0721570589595,0.951536493554797,1.02533957358698
