"","hazard ratio","5% CI","95% CI"
"HR_CI1vs0_lower",0.747734647916923,0.543551043952342,0.978823908331134
"HR_CI1vs0_lower",0.776800343080883,0.575767171415122,1.05693194992398
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",0.871570703996949,0.620141918304771,1.20868676501849
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",0.788865756905014,0.148131012908693,3.35646736693268
"HR_CI1vs0_lower",0.708423530472026,0.241801532828756,2.60986560598584
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",0.785977182227217,0.558810230491217,1.04602587893366
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",0.880456969919845,0.581415053188261,1.22337227630593
"HR_CI1vs0_lower",0.714159404910983,0.206260627043803,2.31067134573057
"HR_CI1vs0_lower",NA,NA,NA
