"","hazard ratio","5% CI","95% CI"
"",NA,NA,NA
"HR_CI1vs0_lower",0.747734647916923,0.553452460480752,1.02314173120169
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",0.85678124074208,0.629072413575248,1.17208315889053
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",0.831577911993867,0.180507736400436,3.39207475813907
"HR_CI1vs0_lower",0.721173452086901,0.184234328206613,2.00581105300668
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",0.758356461066331,0.570663121593137,0.999195755095587
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",0.865642251104611,0.562514544371405,1.18618688722334
"",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
