"","hazard ratio","5% CI","95% CI"
"HR_CI1vs0_lower",5.83466062015879,1.62786718161962,23.4610389749754
"HR_CI1vs0_lower",7.56833634529962,2.48379660754658,55.7651680286469
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",13.0313228737812,3.84170991491834e-06,39042266.2819078
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,1,1
"HR_CI1vs0_lower",NA,1,1
"HR_CI1vs0_lower",7.62160928265593,1.76905578281683,31.9526708958248
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",13.0817175449327,7.37006345162809e-06,53118613.331441
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,1,1
