"","subset","HR","p-value level","95% CI"
"1","race, national origin","1.21","***","[0.99;1.46]"
"2","race, national origin","1.24","***","[0.99;1.61]"
"3","race, national origin",NA,NA,"[NA;NA]"
"4","race, national origin","1.21","***","[0.86;1.73]"
"5","race, national origin",NA,NA,"[NA;NA]"
"6","race, national origin","2.14",NA,"[1.05;6.16]"
"7","race, national origin","2.61",NA,"[1.06;7.72]"
"8","race, national origin","2.04",NA,"[0;9513976.8]"
"9","race, national origin","1.37","*","[0.68;3.34]"
"10","race, national origin","1.62",NA,"[0.58;5.5]"
"11","race, national origin",NA,NA,"[NA;NA]"
"12","race, national origin",NA,NA,"[NA;NA]"
"13","race, national origin","1.19","***","[0.89;1.52]"
"14","race, national origin","2.5",NA,"[0.95;7.63]"
"15","race, national origin","1.15","***","[0.78;1.61]"
"16","race, national origin","1.55",NA,"[0.66;7.51]"
"17","race, national origin",NA,NA,"[NA;NA]"
