"","X","hazard.ratio","X5..CI","X95..CI","subset","SE","z_value","p_value"
"1","HR_CI1vs0_lower",1.21388251336502,0.992164853656282,1.46378326287775,"race, national origin",0.120310818678946,10.0895540957486,2.92775345253973e-22
"2","HR_CI1vs0_lower",1.24394065929694,0.99128899132207,1.60894036189863,"race, national origin",0.157564125147082,7.8948216044468,1.90993577235838e-14
"3","HR_CI1vs0_lower",NA,NA,NA,"race, national origin",NA,NA,NA
"4","HR_CI1vs0_lower",1.20922107613958,0.862408163914395,1.72867909652735,"race, national origin",0.220987482809427,5.47189850197251,7.70287364762921e-08
"5","HR_CI1vs0_lower",NA,NA,NA,"race, national origin",NA,NA,NA
"6","HR_CI1vs0_lower",2.13759569328229,1.04835320291778,6.16275038790353,"race, national origin",1.30469315943514,1.63838959208443,0.101124520325975
"7","HR_CI1vs0_lower",2.6074731895534,1.06241864541433,7.71714148953837,"race, national origin",1.69763337860307,1.53594599541805,0.124596918924846
"8","HR_CI1vs0_lower",2.03825081447445,1.49069353835202e-08,9513976.80278959,"race, national origin",2427034.89867081,8.3981108619028e-07,0.999999397855339
"9","HR_CI1vs0_lower",1.36830837729958,0.679117006900712,3.33811496945335,"race, national origin",0.678315806773632,2.01721434711636,0.0433213092163193
"10","HR_CI1vs0_lower",1.61731959132144,0.57853547118409,5.50336742510504,"race, national origin",1.25633468212269,1.28733180285116,0.199404123600182
"11","",NA,NA,NA,"race, national origin",NA,NA,NA
"12","",NA,NA,NA,"race, national origin",NA,NA,NA
"13","HR_CI1vs0_lower",1.18770705052749,0.889323627721167,1.5179329963298,"race, national origin",0.160359532808325,7.40652600894727,6.06642828937856e-13
"14","HR_CI1vs0_lower",2.50204450816147,0.950665388934032,7.62691277931228,"race, national origin",1.70312433428017,1.46909092765618,0.142108972022704
"15","HR_CI1vs0_lower",1.14813746597296,0.784759217842143,1.60693404148337,"race, national origin",0.20973847541868,5.47413851312233,7.6124675197727e-08
"16","HR_CI1vs0_lower",1.54742863390942,0.658752888648904,7.51068397752519,"race, national origin",1.74794160430518,0.885286230442772,0.382593344144331
"17","",NA,NA,NA,"race, national origin",NA,NA,NA
