"","variable","hazard ratio","5% CI","95% CI"
"HR_CI1vs6_lower","summary mean score, 2",1.21839078967315,1.1003068341239,1.33297699210666
"HR_CI2vs6_lower","summary mean score, 3",1.48447611636037,1.21067515579087,1.77682767369272
"HR_CI3vs6_lower","summary mean score, 4",1.80867202766325,1.33211420627557,2.3684704405197
"HR_CI4vs6_lower","summary mean score, 5",2.20366934004436,1.46573446144647,3.15711666878902
"HR_CI5vs6_lower","summary mean score, 6",2.68493042739517,1.6127577863936,4.20836399659935
"HR_CI1vs6_lower1","harassed, almost everyday",0.372449129331879,0.772101922472098,2.05712927545653
"HR_CI2vs6_lower1","harassed, at least once a week",0.453788588799746,0.813087483097518,1.78076406288346
"HR_CI3vs6_lower1","harassed, a few times a month",0.552891837052389,0.856251064450372,1.54153231735379
"HR_CI4vs6_lower1","harassed, a few times a year",0.6736383219501,0.901708552952128,1.33444392102031
"HR_CI5vs6_lower1","harassed, less than once a year",0.82075472703488,0.949582009701879,1.15517944666796
"HR_CI1vs6_lower2","less respect, almost everyday",2.04130954960539,1.51778908438421,2.82082829968055
"HR_CI2vs6_lower2","less respect, at least once a week",1.76981183033202,1.39626191478557,2.29245719702439
"HR_CI3vs6_lower2","less respect, a few times a month",1.53442377976858,1.28446855128225,1.86305579879122
"HR_CI4vs6_lower2","less respect, a few times a year",1.33034274919361,1.18162911390871,1.51408595873536
"HR_CI5vs6_lower2","less respect, less than once a year",1.1534048505159,1.08702622526609,1.23048194185759
"HR_CI1vs6_lower3","medical, almost everyday",1.78813905780814,1.03260732249978,2.82944349977783
"HR_CI2vs6_lower3","medical, at least once a week",1.59191923959912,1.02598768896561,2.29802782766049
"HR_CI3vs6_lower3","medical, a few times a month",1.41723142522943,1.01941746749535,1.86643271325731
"HR_CI4vs6_lower3","medical, a few times a year",1.26171281978076,1.0128963293513,1.51590561209345
"HR_CI5vs6_lower3","medical, less than once a year",1.12325990749281,1.0064239481808,1.23121734242173
"HR_CI1vs6_lower4","not clever, almost everyday",1.89244288242397,1.42239375227703,2.49247943925484
"HR_CI2vs6_lower4","not clever, at least once a week",1.66578222828417,1.32560580257302,2.0763720765598
"HR_CI3vs6_lower4","not clever, a few times a month",1.46626905247105,1.23540595111037,1.72973199647893
"HR_CI4vs6_lower4","not clever, a few times a year",1.2906518617676,1.15134563247049,1.44096191420894
"HR_CI5vs6_lower4","not clever, less than once a year",1.13606859905888,1.07300683106471,1.20040067017149
"HR_CI1vs6_lower5","poorer service, almost everyday",1.72594455147913,1.19311946923343,2.3686293033715
"HR_CI2vs6_lower5","poorer service, at least once a week",1.54746726728922,1.15172008733623,1.99341479213285
"HR_CI3vs6_lower5","poorer service, a few times a month",1.38744604586477,1.11175746059357,1.6776380058118
"HR_CI4vs6_lower5","poorer service, a few times a year",1.24397237400564,1.07318171822257,1.41188341482064
"HR_CI5vs6_lower5","poorer service, less than once a year",1.11533509494037,1.03594472077046,1.18822700362753
"HR_CI1vs6_lower6","afraid others, almost everyday",1.41674616717881,0.953561492159246,2.11550791667216
"HR_CI2vs6_lower6","afraid others, at least once a week",1.32139797554822,0.962671908045064,1.82105224981272
"HR_CI3vs6_lower6","afraid others, a few times a month",1.23246679626454,0.971870106950076,1.56759864252267
"HR_CI4vs6_lower6","afraid others, a few times a year",1.14952075907668,0.981156944454648,1.34943512022687
"HR_CI5vs6_lower6","afraid others, less than once a year",1.0721570589595,0.990533284605276,1.16164582552407
