"","hazard ratio","5% CI","95% CI"
"HR_CI1vs0_lower",2.41216353178347,1.41791835558109,4.42976664409674
"HR_CI1vs0_lower",1.9671004241608,1.14655371306706,3.5432922285505
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",2.00238760174209,0.924121240435379,4.44322046474026
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",0.678580438871727,1.16017910391978e-07,4082394.73143105
"HR_CI1vs0_lower",0.569989146783134,5.93170295624943e-07,1010263.84620267
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",9.7779766715145e-07,6.38992900153722e-07,3.86010966190852e-06
"HR_CI1vs0_lower",NA,1.02111461267113e-07,8.71938650990549e-07
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",1.95705717610997,1.03500842504365,3.66745636712421
"HR_CI1vs0_lower",0.570435509966759,5.93633313682786e-07,962327.496162815
"HR_CI1vs0_lower",2.02415198735284,0.791969773155699,4.81793704792432
"HR_CI1vs0_lower",NA,8.85223987462781e-08,7.8320647518157e-07
"HR_CI1vs0_lower",NA,NA,NA
