"","hazard ratio","5% CI","95% CI"
"HR_CI1vs0_lower",0.392961919849178,0.0506051421418248,1.27582608296096
"HR_CI1vs0_lower",0.470595628545756,0.068802669858874,2.10255930705431
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",0.493152817430074,1.1385845614911e-07,2.26556215723909
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,1,1
"HR_CI1vs0_lower",NA,1,1
"HR_CI1vs0_lower",0.484329603087887,0.0593711662806878,1.45697928828774
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",0.51398063916067,5.95055677188404e-07,2.07686674854008
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,1,1
