"","hazard ratio","5% CI","95% CI"
"HR_CI1vs0_lower",0.893751355779088,0.693812615343426,1.06821641443321
"HR_CI1vs0_lower",0.83420748902772,0.674489927617967,1.09198776173632
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",0.801946884123651,0.617614792230348,1.04310784542823
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",1.31162107736657,0.511963923381906,3.1057349955425
"HR_CI1vs0_lower",1.05238220528489,0.193821484393825,3.68883023650463
"HR_CI1vs0_lower",10.8410597723634,7.15359661672781e-07,60.5511099029945
"HR_CI1vs0_lower",0.682768789086013,0.171899418498936,1.61028004650017
"HR_CI1vs0_lower",0.756193441586933,0.111994852385047,2.65576085188598
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",0.836020447805633,0.686312543869557,1.03535051520018
"HR_CI1vs0_lower",1.05048213583568,0.0751394348986034,3.46215120755312
"HR_CI1vs0_lower",0.804916119255002,0.566767951120959,1.03834598287665
"HR_CI1vs0_lower",0.751120413043342,0.239384496548599,1.83924841495446
"HR_CI1vs0_lower",NA,NA,NA
