"","X","analysed.n","diabetes.onset..n.","max..timepoints","median.timepoint","BIC","hazard.ratio","X95...CI","NA."
"1",0,15630,75,3,2,907.883113297025,1.00733198010103,0.407566698270336,1.9899711739363
"2",1,15630,69,3,2,482.095075626243,1.02653309584595,0.358457896606063,2.33634276609548
"3",2,15630,77,3,2,946.130360751239,1.01658152416065,0.390206343709599,2.08146000424663
"4",3,15630,80,3,2,86.6163452661444,0.493295026230702,7.34779549754071e-10,35450.8318341491
"5",4,15630,80,3,2,977.536375688385,0.963728602349272,0.410720378339949,2.05017161342782
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",0,6360,71,3,2,0,1,1,1
"21",1,6360,55,3,2,0,1,1,1
"31",2,6360,84,3,2,0,1,1,1
"41",3,6360,72,3,2,0,1,1,1
"51",4,6360,68,3,2,0,1,1,1
"6",5,6360,67,3,2,0,1,1,1
"7",6,6360,60,3,2,0,1,1,1
"12",0,3677,86,3,2,992.968767983788,1.08750608986675,0.531379044506057,2.03224833596842
"22",1,3677,87,3,2,526.379475969181,1.07523088517471,0.402021468504594,2.52656902357715
"32",2,3677,95,3,2,1101.4544308614,1.09537100007489,0.47999530469276,2.12174782168395
"42",3,3677,93,3,2,68.2383312160097,1.16055141055069,7.3319172059685e-10,904796799.443314
"52",4,3677,92,3,2,1083.74871220123,1.09050662611843,0.478849607673125,2.11107056622489
"NA1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",0,4195,85,3,2,987.877273455862,1.08452166114333,0.523704032625856,2.10546901350424
"23",1,4195,86,3,2,618.09679393028,1.05698665358706,0.401944947300616,2.51434572618277
"33",2,4195,73,3,2,853.148826232797,1.09490265061477,0.502767904323091,2.193345479489
"43",3,4195,82,3,2,57.1846950502054,1.03890371832094,3.03258935910256e-10,945276001140241
"53",4,4195,95,3,2,1104.23893415144,1.10135453157134,0.50598450567691,2.22410719305975
"NA2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",0,5767,74,3,2,840.776907515846,1.04151996756146,1.85282700222309e-07,2.51942065872484
"24",1,5767,80,3,2,617.992911382626,1.03324357474799,1.32069892751225e-07,2.7163644115249
"34",2,5767,84,3,2,978.055409612147,0.971815441922825,1.71261722150213e-07,2.68194249664775
"44",3,5767,94,3,2,1091.22618994476,1.05367186213969,2.46674679805443e-07,2.76517530353373
"54",4,5767,85,3,2,982.729866136699,0.975302591167513,2.03039701060827e-07,2.57584982062415
"61",5,5767,98,3,2,831.483649866946,0.967681865868333,1.16591198181082e-07,2.67621090716685
"71",6,5767,76,3,2,649.936883829533,1.01367451508974,1.54525219562016e-07,3.22914012670219
