"","hazard ratio","5% CI","95% CI"
"HR_CI1vs0_lower",1.7053711806752,1.4936785212497,1.99433922840014
"HR_CI1vs0_lower",1.67090480410113,1.41158719899608,1.92813655472942
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",1.88551729037444,1.53588854460121,2.42201451183583
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",1.70034953816727,0.731111698209534,4.87147752518824
"HR_CI1vs0_lower",2.02924251500533,0.714457891468692,5.96299110487024
"HR_CI1vs0_lower",0.67441301354255,0.145000835323259,2.80513447193117
"HR_CI1vs0_lower",2.26424153916133,1.27723478406828,4.47262998043026
"HR_CI1vs0_lower",2.9602826800044,1.63945961600785,6.72090509846383
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",1.6070600678748,1.36874940106388,1.90080142507134
"HR_CI1vs0_lower",1.89465099322871,0.838500055564954,6.78228068484508
"HR_CI1vs0_lower",1.80306810303324,1.44522927959711,2.29722958432965
"HR_CI1vs0_lower",2.95963962910757,1.53578969707866,7.74874045084429
"HR_CI1vs0_lower",NA,NA,NA
