"","hazard ratio","5% CI","95% CI"
"",NA,NA,NA
"HR_CI1vs0_lower",1.7053711806752,1.47777313495701,2.013450242597
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",1.9140323822746,1.46328071542191,2.50867381738708
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",1.70034953816727,0.654534765815342,5.5788093053591
"HR_CI1vs0_lower",1.89178469357563,0.730511343596106,6.4477823272524
"HR_CI1vs0_lower",0.629500634057172,0.0875164206869661,2.35846855520452
"HR_CI1vs0_lower",2.2536307739282,1.13853163702748,4.44874761185266
"HR_CI1vs0_lower",2.93144949127098,1.56424654506154,5.56507906607297
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",1.63584335574537,1.36469491892965,1.88022559842339
"HR_CI1vs0_lower",1.76947051909886,0.62623418685083,4.84789990712985
"HR_CI1vs0_lower",1.82566496259643,1.45213558815133,2.36376445029002
"",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
