"","hazard ratio","5% CI","95% CI"
"HR_CI1vs0_lower",2.10433003222353,2.73755748545608e-07,13.0388757294902
"HR_CI1vs0_lower",1.43995637932348,1.46153024377116e-07,12.5045907099865
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",4.03694370020377,4.47217430527206e-07,121298129.521922
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,1,1
"HR_CI1vs0_lower",NA,1,1
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
"",NA,NA,NA
"",NA,NA,NA
"HR_CI1vs0_lower",1.37733501909463,7.73319548650494e-08,8.67966606868725
"HR_CI1vs0_lower",NA,1,1
"HR_CI1vs0_lower",3.89887679558573,3.39961611580022e-07,35971332.7536084
"HR_CI1vs0_lower",NA,1,1
"",NA,NA,NA
