"","variable","hazard ratio","5% CI","95% CI"
"HR_CI1vs6_lower","summary mean score, 2",1.38696198073793,1.3326971248857,1.51045768554649
"HR_CI2vs6_lower","summary mean score, 3",1.92366353601249,1.77613538148049,2.28173564752937
"HR_CI3vs6_lower","summary mean score, 4",2.66804818818121,2.36719438522311,3.44722408018824
"HR_CI4vs6_lower","summary mean score, 5",3.70048139978406,3.15504194294902,5.20859212804294
"HR_CI5vs6_lower","summary mean score, 6",5.13242701192837,4.20523062224774,7.87076709560993
"HR_CI1vs6_lower1","harassed, almost everyday",0.194839594927679,0.96670781388574,1.51056944959121
"HR_CI2vs6_lower1","harassed, at least once a week",0.270235110507069,0.973179964609951,1.39041857645229
"HR_CI3vs6_lower1","harassed, a few times a month",0.374805824133819,0.979744465479554,1.28006502038536
"HR_CI4vs6_lower1","harassed, a few times a year",0.519841428232754,0.986402104883248,1.17869649322094
"HR_CI5vs6_lower1","harassed, less than once a year",0.721000296971335,0.993153680622258,1.08556878098437
"HR_CI1vs6_lower2","less respect, almost everyday",2.51650660062278,2.22686215991404,3.00667190433352
"HR_CI2vs6_lower2","less respect, at least once a week",2.09236987723243,1.89737971996802,2.41210757758217
"HR_CI3vs6_lower2","less respect, a few times a month",1.73971794950436,1.61664766894322,1.93527579002459
"HR_CI4vs6_lower2","less respect, a few times a year",1.44650263644158,1.37745275973789,1.55283436229814
"HR_CI5vs6_lower2","less respect, less than once a year",1.20270637997874,1.17364905503112,1.24607448553092
"HR_CI1vs6_lower3","medical, almost everyday",3.39229097178633,2.64722850157832,3.76168696434037
"HR_CI2vs6_lower3","medical, at least once a week",2.65701788178739,2.17842085026033,2.88518911333323
"HR_CI3vs6_lower3","medical, a few times a month",2.08111393829533,1.79282739041309,2.21325024134167
"HR_CI4vs6_lower3","medical, a few times a year",1.6300361596564,1.47564146970935,1.69805859003879
"HR_CI5vs6_lower3","medical, less than once a year",1.27672869461621,1.21469780027818,1.302992921276
"HR_CI1vs6_lower4","not clever, almost everyday",2.63572561502837,2.16404625566112,3.59361106413924
"HR_CI2vs6_lower4","not clever, at least once a week",2.17130162701605,1.85443979422671,2.77884741448536
"HR_CI3vs6_lower4","not clever, a few times a month",1.78871075524749,1.58912911257171,2.15013583437294
"HR_CI4vs6_lower4","not clever, a few times a year",1.4735337210312,1.3617766284964,1.66474253992506
"HR_CI5vs6_lower4","not clever, less than once a year",1.21389197255406,1.16695152289668,1.28979549249496
"HR_CI1vs6_lower5","poorer service, almost everyday",3.35085045846676,2.80964456681658,4.0603860542368
"HR_CI2vs6_lower5","poorer service, at least once a week",2.6310193205442,2.28471600668315,3.06797548459473
"HR_CI3vs6_lower5","poorer service, a few times a month",2.06582261753462,1.85805317870309,2.31812808524669
"HR_CI4vs6_lower5","poorer service, a few times a year",1.62204171356479,1.5112227955981,1.751555733721
"HR_CI5vs6_lower5","poorer service, less than once a year",1.27359401441935,1.22925691580696,1.32346202390508
"HR_CI1vs6_lower6","afraid others, almost everyday",2.13884594214579,1.3977848661955,2.50266380302325
"HR_CI2vs6_lower6","afraid others, at least once a week",1.83714571133979,1.30723047990171,2.08311923151774
"HR_CI3vs6_lower6","afraid others, a few times a month",1.57800255651332,1.22254273115755,1.73392243950421
"HR_CI4vs6_lower6","afraid others, a few times a year",1.35541348353179,1.14334153585647,1.44327519100375
"HR_CI5vs6_lower6","afraid others, less than once a year",1.16422226551969,1.06927143515764,1.20135838713022
