"","variable","hazard ratio","5% CI","95% CI"
"HR_CI1vs6_lower","summary mean score, 2",1.38696198073793,1.28634759361613,1.4962111620223
"HR_CI2vs6_lower","summary mean score, 3",1.92366353601249,1.65469457458964,2.23864951378782
"HR_CI3vs6_lower","summary mean score, 4",2.66804818818121,2.12852377597288,3.34949740392641
"HR_CI4vs6_lower","summary mean score, 5",3.70048139978406,2.73804334359618,5.01156667498932
"HR_CI5vs6_lower","summary mean score, 6",5.13242701192837,3.52211291184566,7.49838452572374
"HR_CI1vs6_lower1","harassed, almost everyday",0.194839594927679,0.879373388121161,2.40032488137713
"HR_CI2vs6_lower1","harassed, at least once a week",0.270235110507069,0.902274414163919,2.0147218694783
"HR_CI3vs6_lower1","harassed, a few times a month",0.374805824133819,0.925771852311489,1.69106630718699
"HR_CI4vs6_lower1","harassed, a few times a year",0.519841428232754,0.949881235302677,1.41940598879723
"HR_CI5vs6_lower1","harassed, less than once a year",0.721000296971335,0.97461850041483,1.19138763487301
"HR_CI1vs6_lower2","less respect, almost everyday",2.51650660062278,2.01425843293846,3.55839190454987
"HR_CI2vs6_lower2","less respect, at least once a week",2.09236987723243,1.75102344640807,2.7605767220603
"HR_CI3vs6_lower2","less respect, a few times a month",1.73971794950436,1.52218987040569,2.14164497396611
"HR_CI4vs6_lower2","less respect, a few times a year",1.44650263644158,1.32326184209354,1.66148618788657
"HR_CI5vs6_lower2","less respect, less than once a year",1.20270637997874,1.15033106099338,1.28898415857182
"HR_CI1vs6_lower3","medical, almost everyday",3.39229097178633,2.11365397971196,5.65508226345298
"HR_CI2vs6_lower3","medical, at least once a week",2.65701788178739,1.81980671044924,3.99897050367889
"HR_CI3vs6_lower3","medical, a few times a month",2.08111393829533,1.56681439360357,2.82786684479976
"HR_CI4vs6_lower3","medical, a few times a year",1.6300361596564,1.3489963312647,1.99972916987784
"HR_CI5vs6_lower3","medical, less than once a year",1.27672869461621,1.16146176044919,1.41411544807515
"HR_CI1vs6_lower4","not clever, almost everyday",2.63572561502837,1.9394805980888,3.74949966262872
"HR_CI2vs6_lower4","not clever, at least once a week",2.17130162701605,1.69881412803956,2.87858081909426
"HR_CI3vs6_lower4","not clever, a few times a month",1.78871075524749,1.48801573508792,2.20995611575122
"HR_CI4vs6_lower4","not clever, a few times a year",1.4735337210312,1.30337812248318,1.69663720482821
"HR_CI5vs6_lower4","not clever, less than once a year",1.21389197255406,1.14165421070626,1.30255009946181
"HR_CI1vs6_lower5","poorer service, almost everyday",3.35085045846676,2.27859255567258,4.53321578556216
"HR_CI2vs6_lower5","poorer service, at least once a week",2.6310193205442,1.93254248354596,3.35060533573563
"HR_CI3vs6_lower5","poorer service, a few times a month",2.06582261753462,1.63905508812408,2.47651568917063
"HR_CI4vs6_lower5","poorer service, a few times a year",1.62204171356479,1.39014529891663,1.83045817792978
"HR_CI5vs6_lower5","poorer service, less than once a year",1.27359401441935,1.17904126512052,1.3529428480388
"HR_CI1vs6_lower6","afraid others, almost everyday",2.13884594214579,1.30156739177893,3.09980697274781
"HR_CI2vs6_lower6","afraid others, at least once a week",1.83714571133979,1.23472050660534,2.47210755665319
"HR_CI3vs6_lower6","afraid others, a few times a month",1.57800255651332,1.17131302618722,1.97151576036983
"HR_CI4vs6_lower6","afraid others, a few times a year",1.35541348353179,1.11116772487607,1.57229243011612
"HR_CI5vs6_lower6","afraid others, less than once a year",1.16422226551969,1.05411652005624,1.25391059671149
