"","variable","hazard ratio","5% CI","95% CI"
"HR_CI1vs6_lower","summary mean score, 2",1.21877488050185,1.03333664473414,1.40795336822119
"HR_CI2vs6_lower","summary mean score, 3",1.4854122093423,1.06779742371257,1.98243805936088
"HR_CI3vs6_lower","summary mean score, 4",1.81038308793715,1.10342047621413,2.7914815281515
"HR_CI4vs6_lower","summary mean score, 5",2.20644943166316,1.14024523967718,3.93092153569909
"HR_CI5vs6_lower","summary mean score, 6",2.68916514240864,1.17831249396014,5.5357848705198
"HR_CI1vs6_lower1","harassed, almost everyday",0.371862621685002,0.690454102230938,3.85794275162646
"HR_CI2vs6_lower1","harassed, at least once a week",0.453216822307243,0.743542265625213,2.94499522910237
"HR_CI3vs6_lower1","harassed, a few times a month",0.552369278448937,0.800714318708122,2.248088614189
"HR_CI4vs6_lower1","harassed, a few times a year",0.673213801334496,0.862284589662198,1.71609873158777
"HR_CI5vs6_lower1","harassed, less than once a year",0.820496070273646,0.928591613994165,1.30999949517375
"HR_CI1vs6_lower2","less respect, almost everyday",1.80618032925308,1.18095306730621,3.24306489856674
"HR_CI2vs6_lower2","less respect, at least once a week",1.60475555062504,1.14231559922108,2.56309280910469
"HR_CI3vs6_lower2","less respect, a few times a month",1.42579361293722,1.10494224482713,2.02569060869549
"HR_CI4vs6_lower2","less respect, a few times a year",1.26678946578547,1.06879164559814,1.60096555055945
"HR_CI5vs6_lower2","less respect, less than once a year",1.12551742136027,1.03382379615621,1.26529254360555
"HR_CI1vs6_lower3","medical, almost everyday",2.24513680137553,0.821159002125062,5.78621763669059
"HR_CI2vs6_lower3","medical, at least once a week",1.90982795921062,0.854002042757711,4.07278590780127
"HR_CI3vs6_lower3","medical, a few times a month",1.62459714327783,0.888239743758766,2.86682225469274
"HR_CI4vs6_lower3","medical, a few times a year",1.38196525253373,0.923938164079636,2.01800420056854
"HR_CI5vs6_lower3","medical, less than once a year",1.17557018188355,0.961167034427474,1.42054575238847
"HR_CI1vs6_lower4","not clever, almost everyday",1.77090217572793,1.21958152040658,2.86715437309789
"HR_CI2vs6_lower4","not clever, at least once a week",1.57963103311888,1.17210411903556,2.32252707809251
"HR_CI3vs6_lower4","not clever, a few times a month",1.4090186544418,1.12647816597779,1.88135405185447
"HR_CI4vs6_lower4","not clever, a few times a year",1.25683373328332,1.08263135923973,1.52398368525269
"HR_CI5vs6_lower4","not clever, less than once a year",1.12108596159408,1.04049422360254,1.23449728769605
"HR_CI1vs6_lower5","poorer service, almost everyday",1.69419233443103,0.886189899943429,3.0075098688428
"HR_CI2vs6_lower5","poorer service, at least once a week",1.52465004148022,0.907865298023719,2.41302432533695
"HR_CI3vs6_lower5","poorer service, a few times a month",1.37207429271382,0.930070878784338,1.93605785180995
"HR_CI4vs6_lower5","poorer service, a few times a year",1.23476720132996,0.952819611110373,1.55337723155114
"HR_CI5vs6_lower5","poorer service, less than once a year",1.1112007925348,0.976124781134914,1.24634276628201
"HR_CI1vs6_lower6","afraid others, almost everyday",1.45164637915384,0.753560901110419,3.08869201754795
"HR_CI2vs6_lower6","afraid others, at least once a week",1.34737556839249,0.797377747551101,2.46493651033717
"HR_CI3vs6_lower6","afraid others, a few times a month",1.25059446182698,0.843771322873168,1.96717934126304
"HR_CI4vs6_lower6","afraid others, a few times a year",1.16076507889947,0.892895620348331,1.56996201542628
"HR_CI5vs6_lower6","afraid others, less than once a year",1.07738808184399,0.944914043825093,1.25297151111666
