"","variable","hazard ratio","5% CI","95% CI"
"HR_CI1vs6_lower","summary mean score, 2",1.38696198073793,1.24156000170658,1.50781415191557
"HR_CI2vs6_lower","summary mean score, 3",1.92366353601249,1.5415324698564,2.27350397734687
"HR_CI3vs6_lower","summary mean score, 4",2.66804818818121,1.91405512373092,3.42802286185976
"HR_CI4vs6_lower","summary mean score, 5",3.70048139978406,2.37669014281258,5.16882453177752
"HR_CI5vs6_lower","summary mean score, 6",5.13242701192837,2.95125420209844,7.79363311161276
"HR_CI1vs6_lower1","harassed, almost everyday",0.194839594927679,0.903433153241431,2.74947311163692
"HR_CI2vs6_lower1","harassed, at least once a week",0.270235110507069,0.921965312352775,2.24592753927014
"HR_CI3vs6_lower1","harassed, a few times a month",0.374805824133819,0.940880029705742,1.83461077954897
"HR_CI4vs6_lower1","harassed, a few times a year",0.519841428232754,0.960185268062084,1.49862875685796
"HR_CI5vs6_lower1","harassed, less than once a year",0.721000296971335,0.979889157702768,1.22418227494965
"HR_CI1vs6_lower2","less respect, almost everyday",2.51650660062278,1.99213923085256,3.49567037642174
"HR_CI2vs6_lower2","less respect, at least once a week",2.09236987723243,1.7356243675704,2.72160052043299
"HR_CI3vs6_lower2","less respect, a few times a month",1.73971794950436,1.5121392816437,2.1189381707732
"HR_CI4vs6_lower2","less respect, a few times a year",1.44650263644158,1.31743093743123,1.64972740781912
"HR_CI5vs6_lower2","less respect, less than once a year",1.20270637997874,1.14779393613905,1.28441714710218
"HR_CI1vs6_lower3","medical, almost everyday",3.39229097178633,2.07811355725143,5.63090831847398
"HR_CI2vs6_lower3","medical, at least once a week",2.65701788178739,1.79529245052332,3.98530307940736
"HR_CI3vs6_lower3","medical, a few times a month",2.08111393829533,1.55096229996437,2.82062247478866
"HR_CI4vs6_lower3","medical, a few times a year",1.6300361596564,1.33988457038773,1.99631593984702
"HR_CI5vs6_lower3","medical, less than once a year",1.27672869461621,1.15753368675939,1.41290931494182
"HR_CI1vs6_lower4","not clever, almost everyday",2.63572561502837,1.94789439719352,3.40626192139727
"HR_CI2vs6_lower4","not clever, at least once a week",2.17130162701605,1.70471713210201,2.66576836546963
"HR_CI3vs6_lower4","not clever, a few times a month",1.78871075524749,1.49189838418927,2.08625212050789
"HR_CI4vs6_lower4","not clever, a few times a year",1.4735337210312,1.30564816257874,1.63271800947252
"HR_CI5vs6_lower4","not clever, less than once a year",1.21389197255406,1.14264962307457,1.27777852878124
"HR_CI1vs6_lower5","poorer service, almost everyday",3.35085045846676,2.41761477271065,4.66221395627907
"HR_CI2vs6_lower5","poorer service, at least once a week",2.6310193205442,2.02632742252033,3.4266643635978
"HR_CI3vs6_lower5","poorer service, a few times a month",2.06582261753462,1.69836946195637,2.51855847798655
"HR_CI4vs6_lower5","poorer service, a few times a year",1.62204171356479,1.42349108658033,1.85111587877878
"HR_CI5vs6_lower5","poorer service, less than once a year",1.27359401441935,1.19310141650576,1.36055549959957
"HR_CI1vs6_lower6","afraid others, almost everyday",2.13884594214579,1.32344414518081,3.36060516339882
"HR_CI2vs6_lower6","afraid others, at least once a week",1.83714571133979,1.25130694213931,2.63713376769212
"HR_CI3vs6_lower6","afraid others, a few times a month",1.57800255651332,1.18310260241574,2.06941575387124
"HR_CI4vs6_lower6","afraid others, a few times a year",1.35541348353179,1.1186166650378,1.62391860795988
"HR_CI5vs6_lower6","afraid others, less than once a year",1.16422226551969,1.05764636596303,1.27432932260627
