"","variable","hazard ratio","5% CI","95% CI"
"HR_CI1vs6_lower","summary mean score, 2",1.92544118782392,1.56249574164534,2.21112065266257
"HR_CI2vs6_lower","summary mean score, 3",3.70732376776879,2.44139512862735,4.88905462361804
"HR_CI3vs6_lower","summary mean score, 4",7.1382338790606,3.81467630993751,10.8102900173649
"HR_CI4vs6_lower","summary mean score, 5",13.7442495190634,5.96043143797541,23.9028567365077
"HR_CI5vs6_lower","summary mean score, 6",26.4637441197338,9.31318190018735,52.8521037790816
"HR_CI1vs6_lower1","harassed, almost everyday",0.0377875479552536,4.24442258969123,17.5963893319047
"HR_CI2vs6_lower1","harassed, at least once a week",0.0727577012199168,3.17859250829898,9.91601871457652
"HR_CI3vs6_lower1","harassed, a few times a month",0.140090674660215,2.38046010025343,5.58794178775749
"HR_CI4vs6_lower1","harassed, a few times a year",0.269736355020818,1.78277680425141,3.14896015074182
"HR_CI5vs6_lower1","harassed, less than once a year",0.519361487810579,1.3351906076507,1.77452943826902
"HR_CI1vs6_lower2","less respect, almost everyday",11.7213374714802,7.05244771191833,21.2679352733378
"HR_CI2vs6_lower2","less respect, at least once a week",7.16443152144391,4.7715712471132,11.5393211750157
"HR_CI3vs6_lower2","less respect, a few times a month",4.37911451234558,3.22840578711272,6.26087731957455
"HR_CI4vs6_lower2","less respect, a few times a year",2.6766455726233,2.18433912301854,3.39695761440255
"HR_CI5vs6_lower2","less respect, less than once a year",1.6360457122658,1.47794180031679,1.8430837213839
"HR_CI1vs6_lower3","medical, almost everyday",9.66680661429576,2.96503340534563,23.8797989707674
"HR_CI2vs6_lower3","medical, at least once a week",6.14082080514157,2.38561518903125,12.6597254866556
"HR_CI3vs6_lower3","medical, a few times a month",3.90094492064138,1.91947550046495,6.71147587223446
"HR_CI4vs6_lower3","medical, a few times a year",2.47806795813625,1.54445903431599,3.55804879931869
"HR_CI5vs6_lower3","medical, less than once a year",1.5741880313788,1.24274525428289,1.88627882397404
"HR_CI1vs6_lower4","not clever, almost everyday",8.53444001932911,4.86451579854749,16.4308506777895
"HR_CI2vs6_lower4","not clever, at least once a week",5.55827492781443,3.54512580092378,9.38699622156422
"HR_CI3vs6_lower4","not clever, a few times a month",3.61997039093363,2.58359065826356,5.36282887278737
"HR_CI4vs6_lower4","not clever, a few times a year",2.35759939934978,1.88285025667964,3.06381072954284
"HR_CI5vs6_lower4","not clever, less than once a year",1.53544762181905,1.37216987362174,1.75037306201297
"HR_CI1vs6_lower5","poorer service, almost everyday",7.68712342382488,3.3960340730067,15.3061395829826
"HR_CI2vs6_lower5","poorer service, at least once a week",5.11223822503708,2.65935494338942,8.86936495643136
"HR_CI3vs6_lower5","poorer service, a few times a month",3.39983869499604,2.08248188739607,5.13948244173923
"HR_CI4vs6_lower5","poorer service, a few times a year",2.26102592312363,1.63074787610029,2.9781478384502
"HR_CI5vs6_lower5","poorer service, less than once a year",1.50367081607765,1.27700640685695,1.72573109265367
"HR_CI1vs6_lower6","afraid others, almost everyday",3.05409825254222,1.62400475394364,6.3762513098307
"HR_CI2vs6_lower6","afraid others, at least once a week",2.44290401678739,1.47390293045278,4.40202206419718
"HR_CI3vs6_lower6","afraid others, a few times a month",1.95402359117571,1.3376760260802,3.03905854990809
"HR_CI4vs6_lower6","afraid others, a few times a year",1.56297921188588,1.21404135945251,2.09809902592542
"HR_CI5vs6_lower6","afraid others, less than once a year",1.25019167005939,1.10183483946304,1.44848152337303
