"","variable","hazard ratio","5% CI","95% CI"
"HR_CI1vs6_lower","summary mean score, 2",1.21741465336292,0.769923693830372,1.72670321350588
"HR_CI2vs6_lower","summary mean score, 3",1.48209843822277,0.592786788214663,2.98150886084828
"HR_CI3vs6_lower","summary mean score, 4",1.8043283564187,0.456407168833567,5.14819780509196
"HR_CI4vs6_lower","summary mean score, 5",2.19661578058237,0.351406244818599,8.88945351381418
"HR_CI5vs6_lower","summary mean score, 6",2.67419223908922,0.270563703269773,15.3495491010106
"HR_CI1vs6_lower1","harassed, almost everyday",0.373944694544691,0.0640879201563527,4.56000438309771
"HR_CI2vs6_lower1","harassed, at least once a week",0.45524575068603,0.110865199847556,3.36639828198112
"HR_CI3vs6_lower1","harassed, a few times a month",0.554222847766377,0.191903683587632,2.48524452890465
"HR_CI4vs6_lower1","harassed, a few times a year",0.674719016099316,0.332415530873172,1.83474668592516
"HR_CI5vs6_lower1","harassed, less than once a year",0.821412817101922,0.576283086588397,1.35452309882072
"HR_CI1vs6_lower2","less respect, almost everyday",1.49513394347099,0.441901692179821,5.20576931672025
"HR_CI2vs6_lower2","less respect, at least once a week",1.37957107784299,0.520302484606796,3.74263650353602
"HR_CI3vs6_lower2","less respect, a few times a month",1.27294037242075,0.612616131371819,2.69076390554916
"HR_CI4vs6_lower2","less respect, a few times a year",1.17455143686558,0.721312192014174,1.93454430438072
"HR_CI5vs6_lower2","less respect, less than once a year",1.08376724293807,0.849298693240234,1.39087095852663
"HR_CI1vs6_lower3","medical, almost everyday",8.21072082778504,0.2590631428259,105.587303273115
"HR_CI2vs6_lower3","medical, at least once a week",5.38896085305299,0.33940577399708,41.5792292728146
"HR_CI3vs6_lower3","medical, a few times a month",3.53694878742721,0.444667546474662,16.3737340999677
"HR_CI4vs6_lower3","medical, a few times a year",2.32141354632323,0.582578268837368,6.44800689381259
"HR_CI5vs6_lower3","medical, less than once a year",1.52361856982751,0.763265782745933,2.53927428501214
"HR_CI1vs6_lower4","not clever, almost everyday",1.2695947616518,0.238614037388222,4.33553201588638
"HR_CI2vs6_lower4","not clever, at least once a week",1.21040886972111,0.317737097667056,3.23313151355238
"HR_CI3vs6_lower4","not clever, a few times a month",1.15398210212633,0.423138245036936,2.41106928970779
"HR_CI4vs6_lower4","not clever, a few times a year",1.1001858341758,0.563561127095456,1.79804801661571
"HR_CI5vs6_lower4","not clever, less than once a year",1.04889743739596,0.750665096350985,1.34090521262045
"HR_CI1vs6_lower5","poorer service, almost everyday",2.50040926857075,0.358637251060403,11.9593615258219
"HR_CI2vs6_lower5","poorer service, at least once a week",2.08165560433148,0.440270176128953,7.28027212352942
"HR_CI3vs6_lower5","poorer service, a few times a month",1.73303231175495,0.540487478691118,4.43196984239942
"HR_CI4vs6_lower5","poorer service, a few times a year",1.44279437354444,0.663520785420564,2.69808340268122
"HR_CI5vs6_lower5","poorer service, less than once a year",1.20116375800489,0.814565435504044,1.64256725767379
"HR_CI1vs6_lower6","afraid others, almost everyday",1.46767038997551,0.256112690920733,6.58494682827853
"HR_CI2vs6_lower6","afraid others, at least once a week",1.35926090523842,0.336306512571871,4.5169079565971
"HR_CI3vs6_lower6","afraid others, a few times a month",1.25885908793213,0.44161537905811,3.09835016494243
"HR_CI4vs6_lower6","afraid others, a few times a year",1.16587345163976,0.579906399238402,2.12529903554316
"HR_CI5vs6_lower6","afraid others, less than once a year",1.07975620009323,0.761511527383159,1.45784005730139
