"","variable","hazard ratio","5% CI","95% CI"
"HR_CI1vs6_lower","summary mean score, 2",1.17201236552096,0.979764490897846,1.34131097423901
"HR_CI2vs6_lower","summary mean score, 3",1.37361298493404,0.959938714314264,1.7991239598495
"HR_CI3vs6_lower","summary mean score, 4",1.60989140378285,0.940514368177599,2.4132085079023
"HR_CI4vs6_lower","summary mean score, 5",1.8868126323794,0.921483318761958,3.23691115203316
"HR_CI5vs6_lower","summary mean score, 6",2.21136773656981,0.902837597270722,4.34179086364058
"HR_CI1vs6_lower1","harassed, almost everyday",0.452208822378481,0.576593199003051,4.00296106500808
"HR_CI2vs6_lower1","harassed, at least once a week",0.529994331625252,0.643715463573399,3.0332157875584
"HR_CI3vs6_lower1","harassed, a few times a month",0.621159910320812,0.718652927261729,2.29840282788116
"HR_CI4vs6_lower1","harassed, a few times a year",0.728007095861882,0.802315700457076,1.74160586818113
"HR_CI5vs6_lower1","harassed, less than once a year",0.853233318537129,0.895719900193265,1.31969781802008
"HR_CI1vs6_lower2","less respect, almost everyday",1.92991062909917,1.17534406492393,3.26437467387685
"HR_CI2vs6_lower2","less respect, at least once a week",1.69211454442392,1.13796873320189,2.57655565544711
"HR_CI3vs6_lower2","less respect, a few times a month",1.48361876880664,1.10178404303115,2.03366443077957
"HR_CI4vs6_lower2","less respect, a few times a year",1.30081303207798,1.06675200947082,1.60516356596125
"HR_CI5vs6_lower2","less respect, less than once a year",1.14053190752297,1.03283586085458,1.26695015656405
"HR_CI1vs6_lower3","medical, almost everyday",1.09642927761881,0.3104531291668,2.78732777398441
"HR_CI2vs6_lower3","medical, at least once a week",1.07642679292988,0.392238307712485,2.27065117742706
"HR_CI3vs6_lower3","medical, a few times a month",1.05678921950508,0.495594676296851,1.84974902761522
"HR_CI4vs6_lower3","medical, a few times a year",1.03750990015994,0.626219606636499,1.5068679617653
"HR_CI5vs6_lower3","medical, less than once a year",1.01858229915895,0.791317654678,1.22754549460703
"HR_CI1vs6_lower4","not clever, almost everyday",1.83346781071581,1.02457731351468,3.75256159955612
"HR_CI2vs6_lower4","not clever, at least once a week",1.6241219345044,1.01961390213382,2.88036078968582
"HR_CI3vs6_lower4","not clever, a few times a month",1.4386792299934,1.01467458192414,2.21092375896418
"HR_CI4vs6_lower4","not clever, a few times a year",1.27441042623811,1.00975923576866,1.69710350007
"HR_CI5vs6_lower4","not clever, less than once a year",1.12889788122669,1.00486774712048,1.30271810539289
"HR_CI1vs6_lower5","poorer service, almost everyday",1.4362229894593,0.68463241668309,2.54459243180836
"HR_CI2vs6_lower5","poorer service, at least once a week",1.33591091829365,0.738525930005774,2.11098940066719
"HR_CI3vs6_lower5","poorer service, a few times a month",1.24260507923498,0.796662081847454,1.75129050997936
"HR_CI4vs6_lower5","poorer service, a few times a year",1.155816126507,0.85937488003526,1.45289624617223
"HR_CI5vs6_lower5","poorer service, less than once a year",1.07508889237449,0.927024628955946,1.20535568697779
"HR_CI1vs6_lower6","afraid others, almost everyday",1.15357247932633,0.501919428319483,2.53595450939585
"HR_CI2vs6_lower6","afraid others, at least once a week",1.12107820441559,0.576110685718635,2.105294009181
"HR_CI3vs6_lower6","afraid others, a few times a month",1.08949924078429,0.661269494898748,1.74776990637129
"HR_CI4vs6_lower6","afraid others, a few times a year",1.05880980559097,0.759017316409948,1.45096175766176
"HR_CI5vs6_lower6","afraid others, less than once a year",1.02898484225521,0.871215352930844,1.20455845547281
