"","hazard ratio","5% CI","95% CI"
"HR_CI1vs0_lower",1.14731890921185,0.95848026214948,1.42506055854492
"HR_CI1vs0_lower",1.19799720344116,0.938348392774329,1.51682838286397
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",1.10430824419437,0.818657162176926,1.60115110834439
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",1.67545250763102,0.715218548501236,6.3533167339582
"HR_CI1vs0_lower",2.00305379142249,0.723186748639358,6.07188930000607
"HR_CI1vs0_lower",1.65156367717733,1.08081556284142e-08,539618555.344781
"HR_CI1vs0_lower",1.13877752291425,0.452367369529548,3.06472784893202
"HR_CI1vs0_lower",1.43566260819249,0.383880715255197,8.32422352219082
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",1.15481689886768,0.974853770250937,1.55958694451008
"HR_CI1vs0_lower",1.92830886419488,0.682738981150278,6.11847516115206
"HR_CI1vs0_lower",1.05629253224661,0.78480287081496,1.43173093920735
"HR_CI1vs0_lower",1.3960160268396,0.521222142495834,4.69850958353011
"HR_CI1vs0_lower",NA,NA,NA
