"","variable","hazard ratio","5% CI","95% CI"
"HR_CI1vs6_lower","summary mean score, 2",1.21741465336292,1.15275035945091,1.56918778791932
"HR_CI2vs6_lower","summary mean score, 3",1.48209843822277,1.33211864889584,2.4634272343517
"HR_CI3vs6_lower","summary mean score, 4",1.8043283564187,1.54345686778959,3.86890670277389
"HR_CI4vs6_lower","summary mean score, 5",2.19661578058237,1.79332900809519,6.07875063401828
"HR_CI5vs6_lower","summary mean score, 6",2.67419223908922,2.08980794019819,9.55458589623786
"HR_CI1vs6_lower1","harassed, almost everyday",0.373944694544691,0.123550071339193,2.58182724143646
"HR_CI2vs6_lower1","harassed, at least once a week",0.45524575068603,0.186822978686447,2.08493229775337
"HR_CI3vs6_lower1","harassed, a few times a month",0.554222847766377,0.28320056343583,1.69669565287413
"HR_CI4vs6_lower1","harassed, a few times a year",0.674719016099316,0.430309418461569,1.39651870144639
"HR_CI5vs6_lower1","harassed, less than once a year",0.821412817101922,0.655292204071021,1.1683833616166
"HR_CI1vs6_lower2","less respect, almost everyday",1.49513394347099,0.842952175200079,2.82367325822169
"HR_CI2vs6_lower2","less respect, at least once a week",1.37957107784299,0.871483884272361,2.28546980904533
"HR_CI3vs6_lower2","less respect, a few times a month",1.27294037242075,0.90138964498549,1.85311183460415
"HR_CI4vs6_lower2","less respect, a few times a year",1.17455143686558,0.932732851011271,1.50544292124918
"HR_CI5vs6_lower2","less respect, less than once a year",1.08376724293807,0.965579834063885,1.22556982792532
"HR_CI1vs6_lower3","medical, almost everyday",8.21072082778504,1.64809286623385,639.507499234805
"HR_CI2vs6_lower3","medical, at least once a week",5.38896085305299,1.43715625804003,169.80055453621
"HR_CI3vs6_lower3","medical, a few times a month",3.53694878742721,1.27832807586352,45.4382407860358
"HR_CI4vs6_lower3","medical, a few times a year",2.32141354632323,1.15862101007817,12.3356136626655
"HR_CI5vs6_lower3","medical, less than once a year",1.52361856982751,1.06828493145248,3.43634491873115
"HR_CI1vs6_lower4","not clever, almost everyday",1.2695947616518,0.778036523647617,3.33639026021499
"HR_CI2vs6_lower4","not clever, at least once a week",1.21040886972111,0.812154714557792,2.61587126258846
"HR_CI3vs6_lower4","not clever, a few times a month",1.15398210212633,0.851049423571726,2.05317835245918
"HR_CI4vs6_lower4","not clever, a few times a year",1.1001858341758,0.895063711188521,1.61338915618085
"HR_CI5vs6_lower4","not clever, less than once a year",1.04889743739596,0.944575403196399,1.26936333132456
"HR_CI1vs6_lower5","poorer service, almost everyday",2.50040926857075,0.914653551465504,9.83944683453361
"HR_CI2vs6_lower5","poorer service, at least once a week",2.08165560433148,0.917326695495208,6.22825408853254
"HR_CI3vs6_lower5","poorer service, a few times a month",1.73303231175495,0.927397923794473,3.94245773082306
"HR_CI4vs6_lower5","poorer service, a few times a year",1.44279437354444,0.944633316569436,2.49558796252973
"HR_CI5vs6_lower5","poorer service, less than once a year",1.20116375800489,0.968867628815458,1.57973360909017
"HR_CI1vs6_lower6","afraid others, almost everyday",1.46767038997551,0.323750133455268,2.56424051960623
"HR_CI2vs6_lower6","afraid others, at least once a week",1.35926090523842,0.405487980400869,2.11698021879916
"HR_CI3vs6_lower6","afraid others, a few times a month",1.25885908793213,0.507975685149886,1.75042055061263
"HR_CI4vs6_lower6","afraid others, a few times a year",1.16587345163976,0.636506517858006,1.44974651389329
"HR_CI5vs6_lower6","afraid others, less than once a year",1.07975620009323,0.797729870791954,1.20288602476752
