"","hazard ratio","5% CI","95% CI"
"HR_CI1vs0_lower",1.48892628247327,0.756957515197372,2.76354245909631
"HR_CI1vs0_lower",1.61421578921767,0.653350681490683,3.69839206391183
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",5.29504127940584,1.20456886597538,41.5208259728193
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",15254008827.1649,1108957803.85957,10855842590631636992
"HR_CI1vs0_lower",11662073881.2496,1475719650.23526,531508704073956
"HR_CI1vs0_lower",9.61099946499661e+53,171293082298452,Inf
"HR_CI1vs0_lower",153102503.900548,22465781.1012394,1117816904.33498
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,1,1
"HR_CI1vs0_lower",NA,1,1
"HR_CI1vs0_lower",1.55646022895492,0.672701321200694,3.2599842246773
"HR_CI1vs0_lower",10791379060.993,720501438.090284,822077934206199936
"HR_CI1vs0_lower",5.1940342133131,0.938258469661172,62.0883943089782
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,1,1
