"","coef","asterix_mark","CI_both","p_value","coef","asterix_mark","CI_both","p_value","coef","asterix_mark","CI_both","p_value","coef","asterix_mark","CI_both","p_value","coef","asterix_mark","CI_both","p_value"
"1",1.81,"***","[1.61;2.04]",0,1.55,"***","[1.37;1.74]",0,1.27,"***","[1.12;1.43]",0,1.93,"***","[1.34;2.79]",0,1.8,"***","[1.6;2.03]",0
"2",1.94,"***","[1.66;2.27]",0,1.56,"***","[1.33;1.82]",0,1.33,"***","[1.12;1.59]",0,2.04,"***","[1.17;3.56]",0,1.94,"***","[1.65;2.26]",0
"3",1.67,"***","[1.4;1.99]",0,1.52,"***","[1.27;1.82]",0,1.2,"***","[1.01;1.43]",0,1.85,"***","[1.13;3.01]",0,1.66,"***","[1.38;1.99]",0
"4",1.85,"***","[1.5;2.27]",0,1.54,"***","[1.23;1.93]",0,1.31,"***","[1.03;1.67]",0,1.61,NA,"[0.83;3.14]",0.1858,1.81,"***","[1.47;2.23]",0
"5",1.71,"***","[1.44;2.03]",0,1.62,"***","[1.39;1.89]",0,1.25,"***","[1.05;1.49]",0,3.24,"***","[1.78;5.92]",0,1.69,"***","[1.42;2]",0
"6",1.09,"***","[0.99;1.2]",0,1.11,"***","[0.98;1.24]",0,1.07,"***","[0.95;1.22]",0,1,"***","[0.73;1.37]",0,1.07,"***","[0.97;1.17]",0
"7",1.12,"***","[0.99;1.27]",0,1.11,"***","[0.95;1.29]",0,1.13,"***","[0.95;1.35]",0,1.38,"***","[0.89;2.16]",1e-04,1.06,"***","[0.93;1.2]",0
"8",1.06,"***","[0.92;1.21]",0,1.1,"***","[0.92;1.31]",0,1.01,"***","[0.85;1.21]",0,0.72,"***","[0.45;1.14]",0,1.07,"***","[0.93;1.23]",0
"9",1.23,"***","[1.05;1.45]",0,1.21,"***","[0.98;1.51]",0,1.2,"***","[0.94;1.52]",0,1.36,NA,"[0.76;2.42]",0.2455,1.17,"***","[1;1.38]",0
"10",1.08,"***","[0.95;1.24]",0,1.16,"***","[0.99;1.35]",0,1.08,"***","[0.91;1.29]",0,0.84,"***","[0.51;1.39]",0,1.07,"***","[0.94;1.22]",0
"11",1.19,"***","[1;1.42]",0,1.12,"***","[0.99;1.27]",0,1.1,"***","[0.97;1.26]",0,0.63,"***","[0.36;1.12]",0,1.14,"***","[0.95;1.36]",0
"12",1.36,"***","[1.09;1.7]",0,1.07,"***","[0.91;1.27]",0,1.14,"***","[0.94;1.37]",0,1.01,"***","[0.54;1.87]",3e-04,1.27,"***","[1.01;1.59]",0
"13",0.98,"***","[0.73;1.31]",0,1.19,"***","[0.99;1.43]",0,1.08,"***","[0.9;1.29]",0,0.13,"***","[0.02;0.93]",0,0.97,"***","[0.72;1.31]",0
"14",1.23,"***","[0.94;1.6]",0,1.12,"***","[0.89;1.39]",0,1.13,"***","[0.89;1.44]",0,0.63,NA,"[0.27;1.45]",0.2222,1.15,"***","[0.88;1.51]",0
"15",1.1,"***","[0.85;1.41]",0,1.13,"***","[0.96;1.32]",0,1.17,"***","[0.97;1.41]",0,0.58,"***","[0.23;1.45]",0,1.06,"***","[0.82;1.36]",0
"16",1.1,"***","[1;1.22]",0,1.14,"***","[1.01;1.28]",0,1.11,"***","[0.97;1.27]",0,0.96,"***","[0.69;1.35]",0,1.06,"***","[0.96;1.18]",0
"17",1.14,"***","[1;1.3]",0,1.08,"***","[0.92;1.28]",0,1.15,"***","[0.95;1.38]",0,1.04,"***","[0.65;1.67]",1e-04,1.06,"***","[0.93;1.21]",0
"18",1.05,"***","[0.9;1.23]",0,1.21,"***","[1;1.45]",0,1.08,"***","[0.9;1.3]",0,0.91,"***","[0.56;1.47]",0,1.07,"***","[0.91;1.25]",0
"19",1.19,"***","[1.01;1.41]",0,1.12,"***","[0.9;1.4]",0,1.13,"***","[0.89;1.44]",0,1.12,NA,"[0.61;2.04]",0.2717,1.13,"***","[0.95;1.34]",0
"20",1.07,"***","[0.92;1.23]",0,1.15,"***","[0.98;1.35]",0,1.17,"***","[0.97;1.41]",0,0.79,"***","[0.46;1.36]",0,1.05,"***","[0.91;1.21]",0
"21",1.22,"***","[1.08;1.36]",0,1.11,"***","[0.98;1.24]",0,1.2,"***","[1.04;1.39]",0,0.9,"***","[0.6;1.34]",0,1.2,"***","[1.07;1.35]",0
"22",1.39,"***","[1.19;1.61]",0,1.11,"***","[0.95;1.29]",0,1.36,"***","[1.1;1.68]",0,1.35,"***","[0.8;2.28]",2e-04,1.34,"***","[1.15;1.56]",0
"23",1.03,"***","[0.86;1.23]",0,1.1,"***","[0.92;1.31]",0,1.09,"***","[0.89;1.33]",0,0.57,"***","[0.29;1.1]",0,1.05,"***","[0.87;1.25]",0
"24",1.21,"***","[1.01;1.46]",0,1.21,"***","[0.98;1.51]",0,1.11,"***","[0.85;1.44]",0,1.2,NA,"[0.62;2.31]",0.3525,1.18,"***","[0.98;1.43]",0
"25",1.18,"***","[1;1.39]",0,1.16,"***","[0.99;1.35]",0,1.27,"***","[1.04;1.55]",0,0.67,"***","[0.34;1.31]",0,1.16,"***","[0.99;1.37]",0
