"","label","Total N","Missing N","levels","0","1","Total","p"
"1","age","14900 (100.0)","0","Mean (SD)","65.0 (10.8)","63.5 (8.4)","64.9 (10.7)","<0.001"
"2","race","14866 (99.8)","34","0","3273 (23.4)","273 (29.7)","3546 (23.8)","<0.001"
"3","","","","1","10676 (76.4)","644 (70.1)","11320 (76.0)",""
"4","","","","(Missing)","32 (0.2)","2 (0.2)","34 (0.2)",""
"5","hispanic","14872 (99.8)","28","0","12459 (89.1)","774 (84.2)","13233 (88.8)","<0.001"
"6","","","","1","1495 (10.7)","144 (15.7)","1639 (11.0)",""
"7","","","","(Missing)","27 (0.2)","1 (0.1)","28 (0.2)",""
"8","sex","14900 (100.0)","0","1","5610 (40.1)","377 (41.0)","5987 (40.2)","0.615"
"9","","","","2","8371 (59.9)","542 (59.0)","8913 (59.8)",""
"10","","","","(Missing)","0 (0.0)","0 (0.0)","0 (0.0)",""
"11","BMI","12334 (82.8)","2566","Mean (SD)","29.0 (6.0)","31.9 (6.0)","29.2 (6.0)","<0.001"
"12","education","14900 (100.0)","0","-13","2 (0.0)","0 (0.0)","2 (0.0)","0.008"
"13","","","","1","2146 (15.3)","160 (17.4)","2306 (15.5)",""
"14","","","","2","8198 (58.6)","565 (61.5)","8763 (58.8)",""
"15","","","","3","3635 (26.0)","194 (21.1)","3829 (25.7)",""
"16","","","","(Missing)","0 (0.0)","0 (0.0)","0 (0.0)",""
"17","hypertension","3848 (25.8)","11052","0","1973 (14.1)","59 (6.4)","2032 (13.6)","0.025"
"18","","","","1","1738 (12.4)","78 (8.5)","1816 (12.2)",""
"19","","","","(Missing)","10270 (73.5)","782 (85.1)","11052 (74.2)",""
"20","depression","14511 (97.4)","389","0","12023 (86.0)","798 (86.8)","12821 (86.0)","0.556"
"21","","","","1","1578 (11.3)","112 (12.2)","1690 (11.3)",""
"22","","","","(Missing)","380 (2.7)","9 (1.0)","389 (2.6)",""
"23","Alcohol_consumption","6332 (42.5)","8568","0","1754 (12.5)","114 (12.4)","1868 (12.5)","0.043"
"24","","","","1","1487 (10.6)","79 (8.6)","1566 (10.5)",""
"25","","","","2","813 (5.8)","39 (4.2)","852 (5.7)",""
"26","","","","3","639 (4.6)","22 (2.4)","661 (4.4)",""
"27","","","","4","282 (2.0)","12 (1.3)","294 (2.0)",""
"28","","","","5","282 (2.0)","8 (0.9)","290 (1.9)",""
"29","","","","6","134 (1.0)","5 (0.5)","139 (0.9)",""
"30","","","","7","627 (4.5)","22 (2.4)","649 (4.4)",""
"31","","","","8","9 (0.1)","0 (0.0)","9 (0.1)",""
"32","","","","9","4 (0.0)","0 (0.0)","4 (0.0)",""
"33","","","","(Missing)","7950 (56.9)","618 (67.2)","8568 (57.5)",""
"34","Smoking_status","14900 (100.0)","0","0","11815 (84.5)","775 (84.3)","12590 (84.5)","0.923"
"35","","","","1","2166 (15.5)","144 (15.7)","2310 (15.5)",""
"36","","","","(Missing)","0 (0.0)","0 (0.0)","0 (0.0)",""
"37","MVPA","14875 (99.8)","25","1","411 (2.9)","27 (2.9)","438 (2.9)","0.003"
"38","","","","2","3506 (25.1)","191 (20.8)","3697 (24.8)",""
"39","","","","3","1479 (10.6)","101 (11.0)","1580 (10.6)",""
"40","","","","4","1375 (9.8)","72 (7.8)","1447 (9.7)",""
"41","","","","5","7187 (51.4)","526 (57.2)","7713 (51.8)",""
"42","","","","(Missing)","23 (0.2)","2 (0.2)","25 (0.2)",""
"43","wealth","14900 (100.0)","0","1","3830 (27.4)","277 (30.1)","4107 (27.6)","<0.001"
"44","","","","2","3491 (25.0)","269 (29.3)","3760 (25.2)",""
"45","","","","3","3487 (24.9)","175 (19.0)","3662 (24.6)",""
"46","","","","4","3173 (22.7)","198 (21.5)","3371 (22.6)",""
"47","","","","(Missing)","0 (0.0)","0 (0.0)","0 (0.0)",""
