"","subset_all_undj","Number_events_all","Number_risk_all","Number_censored_all","probability_for_nodiab_all","probability_SE_all","probability_lower_CI_all","probability_upper_CI_all","cumhaz_output_all","cumhaz_output_std_all"
"1","All","328","16185","0","0.979734321902997","0.00113049867297846","0.977565891847933","0.981907561954955","0.0202656780970034","0.00111898487959684"
"2","All","1144","15857","29","0.909051590979302","0.00248626224832041","0.9046325723496","0.913492195970413","0.0924104721942475","0.00240870086332761"
"3","All","1022","14684","39","0.845781996455953","0.00335795928368702","0.840233777560779","0.851366851265716","0.162010036345705","0.00324679273564613"
"4","All","1706","13623","105","0.739865231723233","0.00466737150130267","0.733127896484939","0.746664482060284","0.287239427816012","0.00444231475961296"
"5","All","4220","11812","331","0.475538167900676","0.00829712516888191","0.46786747429802","0.483334622629244","0.644503227341918","0.0070696531122585"
"6","All","6681","7261","580","0.0379854203804424","0.0406848637733206","0.0350740501189227","0.0411384529755369","1.56462442276955","0.0132928927293749"
"7","All","338","16042","0","0.978930307941653","0.00115830771989357","0.976710420608658","0.981155240679783","0.0210696920583468","0.00114604016399765"
"8","All","1100","15704","25","0.910360304201471","0.00247750348968367","0.905950475929475","0.914791597869098","0.0911155402498904","0.00240287133392117"
"9","All","816","14579","22","0.859406603108913","0.00319449381727071","0.854042588407549","0.864804307762169","0.147086457322392","0.00310047370001094"
"10","All","1457","13741","90","0.768281108550316","0.00434011422076879","0.761773467980048","0.774844342269429","0.253119497130266","0.00416286941878834"
"11","All","3447","12194","256","0.551103399744925","0.0071521995325495","0.543431898190288","0.558883198100501","0.53579950369087","0.00636485467784094"
"12","All","7832","8491","659","0.042772010414781","0.0380898002446043","0.0396951609458812","0.0460873524966009","1.45818791494985","0.0122123986230956"
