"","subset_male_undj","Number_events_male","Number_risk_male","Number_censored_male","probability_for_nodiab_male","probability_SE_male","probability_lower_CI_male","probability_upper_CI_male","cumhaz_output_male","cumhaz_output_std_male"
"1","male","0","6799","161","1","0","1","1","0","0"
"2","male","15","6638","500","0.997740283217837","0.000584116706717744","0.996598676149288","0.998883198001045","0.0022597167821633","0.000583456364297592"
"3","male","22","6123","476","0.994155392440311","0.000964424081610619","0.992277978601916","0.996036358390912","0.00585272674460002","0.000962926170799561"
"4","male","48","5625","737","0.985671933091487","0.00156850490817741","0.982646420411488","0.988706761153689","0.0143860600779333","0.00156341416376076"
"5","male","149","4840","1845","0.95532790044053","0.00300379771130678","0.949720088471894","0.960968824855093","0.0451711840448755","0.00296729281509846"
"6","male","248","2846","2598","0.872080774892655","0.00652410351767438","0.861000464098732","0.883303679439323","0.132311029441924","0.00627878842880426"
"7","male","0","6120","128","1","0","1","1","0","0"
"8","male","11","5992","458","0.998164218958612","0.000554017571217082","0.997080946108085","0.999248668724687","0.00183578104138852","0.000553508810139419"
"9","male","11","5523","345","0.996176204037637","0.000817477302419192","0.994581382525775","0.997773582862252","0.00382745223458062","0.000816692118115554"
"10","male","45","5167","570","0.987500390377545","0.00153902698992731","0.984526145264296","0.99048362065999","0.0125365677755135","0.00153379025232672"
"11","male","97","4552","1367","0.96645743390421","0.0026742923686939","0.961404983916617","0.97153643591858","0.0338458823625082","0.00265213511412422"
"12","male","279","3088","2809","0.879138255128538","0.00627026465053579","0.868400209510061","0.890009080106625","0.124195623295151","0.00602429717542388"
