"","Model","subset","analysed_n","diabetes_onset_n","median_timepoint","BIC","hazard_ratio","asterix_mark","CI_both"
"1","1","FEMALE_sexism","8159","3500","2","51550.09",NA,NA,"[NA;NA]"
"2","2","FEMALE_sexism","8159","3500","2","18743.65",NA,NA,"[NA;NA]"
"3","3","FEMALE_sexism","8159","3500","2","2006.71",NA,NA,"[NA;NA]"
"4","4","FEMALE_sexism","8159","3500","2","7218.07",NA,NA,"[NA;NA]"
"5","5","FEMALE_sexism","8159","3500","2","50667.06",NA,NA,"[NA;NA]"
"6","6","FEMALE_sexism","8159","3500","2","1176.71",NA,NA,"[NA;NA]"
"7","7","FEMALE_sexism","8159","3500","2","18735.4",NA,NA,"[NA;NA]"
"8","1","FEMALE_sexism","8159","3500","2","51550.09",NA,NA,"[NA;NA]"
"9","2","FEMALE_sexism","8159","3500","2","18743.65",NA,NA,"[NA;NA]"
"10","3","FEMALE_sexism","8159","3500","2","2006.71",NA,NA,"[NA;NA]"
"11","4","FEMALE_sexism","8159","3500","2","7218.07",NA,NA,"[NA;NA]"
"12","5","FEMALE_sexism","8159","3500","2","50667.06",NA,NA,"[NA;NA]"
"13","6","FEMALE_sexism","8159","3500","2","1176.71",NA,NA,"[NA;NA]"
"14","7","FEMALE_sexism","8159","3500","2","18735.4",NA,NA,"[NA;NA]"
"15","1","FEMALE_sexism","8159","3500","2","51550.09",NA,NA,"[NA;NA]"
"16","2","FEMALE_sexism","8159","3500","2","18743.65",NA,NA,"[NA;NA]"
"17","3","FEMALE_sexism","8159","3500","2","2006.71",NA,NA,"[NA;NA]"
"18","4","FEMALE_sexism","8159","3500","2","7218.07",NA,NA,"[NA;NA]"
"19","5","FEMALE_sexism","8159","3500","2","50667.06",NA,NA,"[NA;NA]"
"20","6","FEMALE_sexism","8159","3500","2","1176.71",NA,NA,"[NA;NA]"
"21","7","FEMALE_sexism","8159","3500","2","18735.4",NA,NA,"[NA;NA]"
"22","1","FEMALE_sexism","8159","3500","2","51550.09",NA,NA,"[NA;NA]"
"23","2","FEMALE_sexism","8159","3500","2","18743.65",NA,NA,"[NA;NA]"
"24","3","FEMALE_sexism","8159","3500","2","2006.71",NA,NA,"[NA;NA]"
"25","4","FEMALE_sexism","8159","3500","2","7218.07",NA,NA,"[NA;NA]"
"26","5","FEMALE_sexism","8159","3500","2","50667.06",NA,NA,"[NA;NA]"
"27","6","FEMALE_sexism","8159","3500","2","1176.71",NA,NA,"[NA;NA]"
"28","7","FEMALE_sexism","8159","3500","2","18735.4",NA,NA,"[NA;NA]"
"29","1","FEMALE_sexism","8159","3500","2","51550.09",NA,NA,"[NA;NA]"
"30","2","FEMALE_sexism","8159","3500","2","18743.65",NA,NA,"[NA;NA]"
"31","3","FEMALE_sexism","8159","3500","2","2006.71",NA,NA,"[NA;NA]"
"32","4","FEMALE_sexism","8159","3500","2","7218.07",NA,NA,"[NA;NA]"
"33","5","FEMALE_sexism","8159","3500","2","50667.06",NA,NA,"[NA;NA]"
"34","6","FEMALE_sexism","8159","3500","2","1176.71",NA,NA,"[NA;NA]"
"35","7","FEMALE_sexism","8159","3500","2","18735.4",NA,NA,"[NA;NA]"
"36","1","FEMALE_sexism","8159","3500","2","51550.09",NA,NA,"[NA;NA]"
"37","2","FEMALE_sexism","8159","3500","2","18743.65",NA,NA,"[NA;NA]"
"38","3","FEMALE_sexism","8159","3500","2","2006.71",NA,NA,"[NA;NA]"
"39","4","FEMALE_sexism","8159","3500","2","7218.07",NA,NA,"[NA;NA]"
"40","5","FEMALE_sexism","8159","3500","2","50667.06",NA,NA,"[NA;NA]"
"41","6","FEMALE_sexism","8159","3500","2","1176.71",NA,NA,"[NA;NA]"
"42","7","FEMALE_sexism","8159","3500","2","18735.4",NA,NA,"[NA;NA]"
"43","1","FEMALE_sexism","8159","3500","2","51550.09",NA,NA,"[NA;NA]"
"44","2","FEMALE_sexism","8159","3500","2","18743.65",NA,NA,"[NA;NA]"
"45","3","FEMALE_sexism","8159","3500","2","2006.71",NA,NA,"[NA;NA]"
"46","4","FEMALE_sexism","8159","3500","2","7218.07",NA,NA,"[NA;NA]"
"47","5","FEMALE_sexism","8159","3500","2","50667.06",NA,NA,"[NA;NA]"
"48","6","FEMALE_sexism","8159","3500","2","1176.71",NA,NA,"[NA;NA]"
"49","7","FEMALE_sexism","8159","3500","2","18735.4",NA,NA,"[NA;NA]"
