"","Model","subset","analysed_n","diabetes_onset_n","median_timepoint","BIC","hazard_ratio","asterix_mark","CI_both"
"1","1","all_ageism","14043","6264","2.5","99228.51",NA,NA,"[NA;NA]"
"2","2","all_ageism","14043","6264","2.5","37146.02",NA,NA,"[NA;NA]"
"3","3","all_ageism","14043","6264","2.5","4194.81",NA,NA,"[NA;NA]"
"4","4","all_ageism","14043","6264","2.5","15720.13",NA,NA,"[NA;NA]"
"5","5","all_ageism","14043","6264","2.5","97120.91",NA,NA,"[NA;NA]"
"6","6","all_ageism","14043","6264","2.5","3314.96",NA,NA,"[NA;NA]"
"7","7","all_ageism","14043","6264","2.5","37137.48",NA,NA,"[NA;NA]"
"8","1","all_ageism","14043","6264","2.5","99228.51",NA,NA,"[NA;NA]"
"9","2","all_ageism","14043","6264","2.5","37146.02",NA,NA,"[NA;NA]"
"10","3","all_ageism","14043","6264","2.5","4194.81",NA,NA,"[NA;NA]"
"11","4","all_ageism","14043","6264","2.5","15720.13",NA,NA,"[NA;NA]"
"12","5","all_ageism","14043","6264","2.5","97120.91",NA,NA,"[NA;NA]"
"13","6","all_ageism","14043","6264","2.5","3314.96",NA,NA,"[NA;NA]"
"14","7","all_ageism","14043","6264","2.5","37137.48",NA,NA,"[NA;NA]"
"15","1","all_ageism","14043","6264","2.5","99228.51",NA,NA,"[NA;NA]"
"16","2","all_ageism","14043","6264","2.5","37146.02",NA,NA,"[NA;NA]"
"17","3","all_ageism","14043","6264","2.5","4194.81",NA,NA,"[NA;NA]"
"18","4","all_ageism","14043","6264","2.5","15720.13",NA,NA,"[NA;NA]"
"19","5","all_ageism","14043","6264","2.5","97120.91",NA,NA,"[NA;NA]"
"20","6","all_ageism","14043","6264","2.5","3314.96",NA,NA,"[NA;NA]"
"21","7","all_ageism","14043","6264","2.5","37137.48",NA,NA,"[NA;NA]"
"22","1","all_ageism","14043","6264","2.5","99228.51",NA,NA,"[NA;NA]"
"23","2","all_ageism","14043","6264","2.5","37146.02",NA,NA,"[NA;NA]"
"24","3","all_ageism","14043","6264","2.5","4194.81",NA,NA,"[NA;NA]"
"25","4","all_ageism","14043","6264","2.5","15720.13",NA,NA,"[NA;NA]"
"26","5","all_ageism","14043","6264","2.5","97120.91",NA,NA,"[NA;NA]"
"27","6","all_ageism","14043","6264","2.5","3314.96",NA,NA,"[NA;NA]"
"28","7","all_ageism","14043","6264","2.5","37137.48",NA,NA,"[NA;NA]"
"29","1","all_ageism","14043","6264","2.5","99228.51",NA,NA,"[NA;NA]"
"30","2","all_ageism","14043","6264","2.5","37146.02",NA,NA,"[NA;NA]"
"31","3","all_ageism","14043","6264","2.5","4194.81",NA,NA,"[NA;NA]"
"32","4","all_ageism","14043","6264","2.5","15720.13",NA,NA,"[NA;NA]"
"33","5","all_ageism","14043","6264","2.5","97120.91",NA,NA,"[NA;NA]"
"34","6","all_ageism","14043","6264","2.5","3314.96",NA,NA,"[NA;NA]"
"35","7","all_ageism","14043","6264","2.5","37137.48",NA,NA,"[NA;NA]"
"36","1","all_ageism","14043","6264","2.5","99228.51",NA,NA,"[NA;NA]"
"37","2","all_ageism","14043","6264","2.5","37146.02",NA,NA,"[NA;NA]"
"38","3","all_ageism","14043","6264","2.5","4194.81",NA,NA,"[NA;NA]"
"39","4","all_ageism","14043","6264","2.5","15720.13",NA,NA,"[NA;NA]"
"40","5","all_ageism","14043","6264","2.5","97120.91",NA,NA,"[NA;NA]"
"41","6","all_ageism","14043","6264","2.5","3314.96",NA,NA,"[NA;NA]"
"42","7","all_ageism","14043","6264","2.5","37137.48",NA,NA,"[NA;NA]"
"43","1","all_ageism","14043","6264","2.5","99228.51",NA,NA,"[NA;NA]"
"44","2","all_ageism","14043","6264","2.5","37146.02",NA,NA,"[NA;NA]"
"45","3","all_ageism","14043","6264","2.5","4194.81",NA,NA,"[NA;NA]"
"46","4","all_ageism","14043","6264","2.5","15720.13",NA,NA,"[NA;NA]"
"47","5","all_ageism","14043","6264","2.5","97120.91",NA,NA,"[NA;NA]"
"48","6","all_ageism","14043","6264","2.5","3314.96",NA,NA,"[NA;NA]"
"49","7","all_ageism","14043","6264","2.5","37137.48",NA,NA,"[NA;NA]"
