,subset,Model,hazard_ratio_CIs	,,
1,female,1,1.77***	[1.50;	2.14],,
2,female,2,1.55***	[1.32; 1.86],,
3,female,3,NA	NA,,
4,female,4,1.82***	[1.45;  2.37],,
5,female,5,1***	[1.00; 1.00],,
6,female,6,4.33	[1.89; 11.44],,
7,female,7,3.83	[1.81; 10.58],,
8,female,8,2.70	[0.00; 19376738.40],,
9,female,9,2.35**	[1.24; 4.30],,
10,female,10,2.25	[0.85; 5.90],,
11,female,11,NA	NA,,
12,female,12,NA	NA,,
13,female,13,1.45***	[1.17; 1.73],,
14,female,14,3.47	[1.31; 9.97],,
15,female,15,1.71***	[1.32;  2.21],,
16,female,16,2.21*	[1.05; 4.53],,
17,female,17,NA	NA,,
18,national origin,1,2.10	[0.00; 13.04],,
19,national origin,2,1.44	[0.00; 12.50],,
20,national origin,3,NA	NA,,
21,national origin,4,4.04	[0.00;  121298129.52],,
22,national origin,5,NA	NA,,
23,national origin,6,NA	NA,,
24,national origin,7,NA	[1.00;	1.00],,
25,national origin,8,NA	[1.00;	1.00],,
26,national origin,9,NA	NA,,
27,national origin,10,NA	NA,,
28,national origin,11,NA	NA,,
29,national origin,12,NA	NA,,
30,national origin,13,1.38	[0.00;	8.68],,
31,national origin,14,NA	[1.00;	1.00],,
32,national origin,15,3.90	[0.00;	35971332.75],,
33,national origin,16,NA	[1.00;	1.00],,
34,national origin,17,NA	NA,,
35,race,1,1.15***	[0.96;	1.43],,
36,race,2,1.20***	[0.94;	1.52],,
37,race,3,NA	NA,,
38,race,4,1.10***	[0.82;	1.60],,
39,race,5,NA	NA,,
40,race,6,1.68	[0.72;	6.35],,
41,race,7,2.00	[0.72;	6.07],,
42,race,8,1.65	[0.00;	539618555.34],,
43,race,9,1.14	[0.45; 3.06],,
44,race,10,1.44	[0.38;	8.32],,
45,race,11,NA	NA,,
46,race,12,NA	NA,,
47,race,13,1.15***	[0.97;	1.56],,
48,race,14,1.93	[0.68;	6.12],,
49,race,15,1.06***	[0.78;	1.43],,
50,race,16,1.40	[0.52;	4.70],,
51,race,17,NA	NA,,
52,religion,1,1.49**	[0.76;	2.76],,
53,religion,2,1.61*	[0.65;	3.70],,
54,religion,3,NA	NA,,
55,religion,4,5.30	[1.20; 41.52],,
56,religion,5,NA	NA,,
57,religion,6,15254008827.16	[1108957803.86;	10855842590631600000.00],,
58,religion,7,11662073881.25	[1475719650.24;	531508704073956.00],,
59,religion,8,961099946499661000000000000000000000000000000000000000.00	[171293082298452.00;	Inf],,
60,religion,9,153102503.90	[22465781.10;	1117816904.33],,
61,religion,10,NA	NA,,
62,religion,11,NA	[1.00;	1.00],,
63,religion,12,NA	[1.00;	1.00],,
64,religion,13,1.56*	[0.67;	3.26],,
65,religion,14,10791379060.99	[720501438.09;	822077934206200000.00],,
66,religion,15,5.19	[0.94;	62.09],,
67,religion,16,NA	NA,,
68,religion,17,NA	[1.00;	1.00],,
69,BMI,1,1.71***	[1.49;	1.99],,
70,BMI,2,1.67***	[1.41;	1.93],,
71,BMI,3,NA	NA,,
72,BMI,4,1.89***	[1.54;	2.42],,
73,BMI,5,NA	NA,,
74,BMI,6,1.70	[0.73;	4.87],,
75,BMI,7,2.03	[0.71;	5.96],,
76,BMI,8,0.67	[0.15;	2.81],,
77,BMI,9,2.26**	[1.28;	4.47],,
78,BMI,10,2.96*	[1.64; 6.72],,
79,BMI,11,NA	NA,,
80,BMI,12,NA	NA,,
81,BMI,13,1.61***	[1.37;	1.90],,
82,BMI,14,1.89	[0.84;	6.78],,
83,BMI,15,1.80***	[1.45;	2.30],,
84,BMI,16,2.96	[1.54;	7.75],,
85,BMI,17,NA	NA,,
86,"BMI, noBMIcov",1,NA	NA,,
87,"BMI, noBMIcov",2,1.71***	[1.48;	2.01],,
88,"BMI, noBMIcov",3,NA	NA,,
89,"BMI, noBMIcov",4,1.91***	[1.46; 2.51],,
90,"BMI, noBMIcov",5,NA	NA,,
91,"BMI, noBMIcov",6,1.70	[0.65;	5.58],,
92,"BMI, noBMIcov",7,1.89	[0.73; 6.45],,
93,"BMI, noBMIcov",8,0.63	[0.09;	2.36],,
94,"BMI, noBMIcov",9,2.25**	[1.14;	4.45],,
95,"BMI, noBMIcov",10,2.93**	[1.56;	5.57],,
96,"BMI, noBMIcov",11,NA	NA,,
97,"BMI, noBMIcov",12,NA	NA,,
98,"BMI, noBMIcov",13,1.64***	[1.36;	1.88],,
99,"BMI, noBMIcov",14,1.77	[0.63;	4.85],,
100,"BMI, noBMIcov",15,1.83***	[1.45;	2.36],,
101,"BMI, noBMIcov",16,NA	NA,,
102,"BMI, noBMIcov",17,NA	NA,,
