"","variable","hazard ratio","5% CI","95% CI"
"HR_CI1vs6_lower","summary mean score, 2",1.21839078967315,1.13534061469139,1.32268590102454
"HR_CI2vs6_lower","summary mean score, 3",1.48447611636037,1.28992605604177,1.75092096389323
"HR_CI3vs6_lower","summary mean score, 4",1.80867202766325,1.46665444091499,2.31960224384374
"HR_CI4vs6_lower","summary mean score, 5",2.20366934004436,1.66888710722535,3.0752607255583
"HR_CI5vs6_lower","summary mean score, 6",2.68493042739517,1.90052684618005,4.0799643796062
"HR_CI1vs6_lower1","harassed, almost everyday",0.372449129331879,0.841462655055386,1.30116597871342
"HR_CI2vs6_lower1","harassed, at least once a week",0.453788588799746,0.871018961187341,1.2339947906922
"HR_CI3vs6_lower1","harassed, a few times a month",0.552891837052389,0.90161370834122,1.17049272280214
"HR_CI4vs6_lower1","harassed, a few times a year",0.6736383219501,0.93328339097795,1.1104538697316
"HR_CI5vs6_lower1","harassed, less than once a year",0.82075472703488,0.966065786428283,1.05368402239361
"HR_CI1vs6_lower2","less respect, almost everyday",2.04130954960539,1.81014686171629,2.52357564704843
"HR_CI2vs6_lower2","less respect, at least once a week",1.76981183033202,1.60729021372205,2.09707056535144
"HR_CI3vs6_lower2","less respect, a few times a month",1.53442377976858,1.42729476793025,1.74264839286818
"HR_CI4vs6_lower2","less respect, a few times a year",1.33034274919361,1.26756845173015,1.44812651190241
"HR_CI5vs6_lower2","less respect, less than once a year",1.1534048505159,1.12581500740431,1.2033812705857
"HR_CI1vs6_lower3","medical, almost everyday",1.78813905780814,1.06683485851953,3.95896173202598
"HR_CI2vs6_lower3","medical, at least once a week",1.59191923959912,1.05309876931928,3.00324212628642
"HR_CI3vs6_lower3","medical, a few times a month",1.41723142522943,1.03954994392599,2.27943442296646
"HR_CI4vs6_lower3","medical, a few times a year",1.26171281978076,1.02618565614478,1.73101624030358
"HR_CI5vs6_lower3","medical, less than once a year",1.12325990749281,1.01300322219293,1.31529197923408
"HR_CI1vs6_lower4","not clever, almost everyday",1.89244288242397,1.51578175584331,2.21015244464442
"HR_CI2vs6_lower4","not clever, at least once a week",1.66578222828417,1.39460444546314,1.88597061746287
"HR_CI3vs6_lower4","not clever, a few times a month",1.46626905247105,1.28320163059883,1.60934457937215
"HR_CI4vs6_lower4","not clever, a few times a year",1.2906518617676,1.18077706217303,1.37329738029508
"HR_CI5vs6_lower4","not clever, less than once a year",1.13606859905888,1.08660004918412,1.1718757744927
"HR_CI1vs6_lower5","poorer service, almost everyday",1.72594455147913,1.42613551938749,2.28424104965151
"HR_CI2vs6_lower5","poorer service, at least once a week",1.54746726728922,1.32795677937128,1.93387331644064
"HR_CI3vs6_lower5","poorer service, a few times a month",1.38744604586477,1.23674659829916,1.63826507143164
"HR_CI4vs6_lower5","poorer service, a few times a year",1.24397237400564,1.15199304581791,1.38874653339884
"HR_CI5vs6_lower5","poorer service, less than once a year",1.11533509494037,1.07322318604219,1.17803250792708
"HR_CI1vs6_lower6","afraid others, almost everyday",1.41674616717881,0.895980906061016,1.42250597722302
"HR_CI2vs6_lower6","afraid others, at least once a week",1.32139797554822,0.915312712307375,1.32549815394025
"HR_CI3vs6_lower6","afraid others, a few times a month",1.23246679626454,0.93535866980465,1.23519576665252
"HR_CI4vs6_lower6","afraid others, a few times a year",1.14952075907668,0.956140284202306,1.15113043815285
"HR_CI5vs6_lower6","afraid others, less than once a year",1.0721570589595,0.977679755516576,1.07286676863389
